user_address,token_symbol,token_balance,token_address,block_number,timestamp
0x5cbcdef9fe22ad5e369bc223cd45be86dd9cff7b,usd+,1988,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xf5dc676cceed2c622f9d3f6edb0cef574c241edf,usd+,1604,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x569e2cc645fc374e23e7300d7bfbbc5f98aacb4a,usd+,1280,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x924a4478d927824325802dafe81e309f35001718,usd+,1198,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x38071e24edbf4798a0248bc4932abec25871cbc6,usd+,843,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xa63c9e3687a4a028dda0b74955f1a54ee23f0ea2,usd+,806,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x1d8b6fa722230153be08c4fa4aa4b4c7cd01a95a,usd+,797,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x75859972675ecce0358a27fd169df66295511629,usd+,701,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x30b983e5a58dcbecd71a49a6eba5f99f5fab4ef7,usd+,445,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0xe25b0db6269814a4c9b62d232e491af653bb4c3e,usd+,431,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9d2547c76abe3fc2ade410ac01e0718b21f59b90,usd+,359,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x90cfa68f4fc20c2dea2d71f8d0dcc2adfffac07d,usd+,179,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x87bbdfa49522e653f46b8b8a8af8721830f7d0fa,usd+,119,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
0x9cd40ef35944828e2477c61c80327e80c3ccf7e1,usd+,69,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,2461808,2024-02-23T16:19:10.000Z
