block_number,timestamp,user_address,token_address,token_symbol,token_balance,usd_price
3000000,1710857973,0xcc9ef307c7fdf64f4a78dee1988197e8e2b35ab9,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104710,1
3000000,1710857973,0x65377040eee875393f309bb5b8d55aac49523d17,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,104710,1
3000000,1710857973,0xfb31321b4ee1ec0d8261f6750a01dae839e0dd50,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,342113,1
3000000,1710857973,0xae025b6a0e847bd3a014e0312c59587951f51308,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,314130,1
3000000,1710857973,0x68b1b1c36233f92edbf86eeddf94ca5db6c8961a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,221944,1
3000000,1710857973,0x6469b16e1cfeaec11c4e3d2f7167b9d3496118f8,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,282713,1
3000000,1710857973,0xa0c5f501490ba9735cb35f46ee6ca2a1ed4b3ecd,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,251299,1
3000000,1710857973,0x032aee5dc874f3fbbdc725c24b6c9e96c50149fb,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,335066,1
3000000,1710857973,0x26159f232d09bc9609fc38b845cec9451a883f34,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,418828,1
3000000,1710857973,0x16d936cf10b6f8f101bafbe65b9be0f0ae6ec9de,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,341337,1
3000000,1710857973,0x44bdee5bded75650067501808db1d4385ca2fc58,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,226167,1
3000000,1710857973,0x73f20c555cd4bf0f97f5d1eeb52cc2721e56d73e,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0xa1dfe9d80f119ba6b87a8646e90341d7080f3284,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,426848,1
3000000,1710857973,0x2bfda3dc5327eaa6d90d6b76e761ecd30a548fde,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,261757,1
3000000,1710857973,0xd443c4ab50ca26a64e1624c9004d9d6f493b331a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,256164,1
3000000,1710857973,0x3130d2b8cbf0798bb1cbf2a4f527dbae953ff27f,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,84,1
3000000,1710857973,0x5c239aa8eeb1deee194d00ffbdd08af072699b62,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0x06eccbe61c06ecf5b32a53a3e4c7216cfeca55db,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,1,1
3000000,1710857973,0xd26d0648bb1857ddea9e5b14fff4364890811659,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,13,1
3000000,1710857973,0xf085548d7bbf66b8731e1a16bd891cad98cb102a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,5232451,1
3000000,1710857973,0x8f7873b7d4082e64def351d3369a781eb3077b47,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,8,1
3000000,1710857973,0xa3b1ae895b114ee3004c2b9ed54574791b07097a,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,5,1
3000000,1710857973,0x16862662b5a97e696f76fd05b64c5bf00db6320e,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,47,1
3000000,1710857973,0x807338c1ee3c87a19eebf5351341a2638dc167c5,0x4af215dbe27fc030f37f73109b85f421fab45b7a,LUSDC,17,1
