block_number,timestamp,user_address,token_address,token_balance,token_symbol,usd_price
3036578,1711004285,0x3701bbfc577f1cbd579fe15da23b687968030fbe,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,14021,,0
3036578,1711004285,0xab17b5f0425003050ded1a9d9fcd8a65a07f1a9b,0x0000000000000000000000000000000000000001,12000000261622107,,0
3036578,1711004285,0xbe32bee32667350ec6af49f3193a2f2d9c414ff2,0x0000000000000000000000000000000000000001,20304903174217720,,0
3036578,1711004285,0xbe32bee32667350ec6af49f3193a2f2d9c414ff2,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1601487,,0
3036578,1711004285,0xe619f97563410c6d5c06b44af1a8afa0e1d1faa9,0x0000000000000000000000000000000000000001,169612811168741,,0
3036578,1711004285,0xe619f97563410c6d5c06b44af1a8afa0e1d1faa9,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,742288,,0
3036578,1711004285,0xd8df5167c9618f65f2e0dd231f00b29470062f9c,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,946338,,0
3036578,1711004285,0x7e308573643db0139faea81d7fcd8edb2723b7fd,0x0000000000000000000000000000000000000001,13999999891136006,,0
3036578,1711004285,0xfbf62d5347bc0000f24449eb2c023808002be679,0x0000000000000000000000000000000000000001,26168335734251730,,0
3036578,1711004285,0x19b1c913f3b9388e7ad3d684a2911eb78e6733b3,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,29999999,,0
3036578,1711004285,0x3665a92d64b1b0d5162632075d6acbd95e1eefc6,0x0000000000000000000000000000000000000001,159996850483371,,0
3036578,1711004285,0x3665a92d64b1b0d5162632075d6acbd95e1eefc6,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,494986,,0
3036578,1711004285,0xf0b44e35a33721fee29013d101e1a47a9703d209,0xa219439258ca9da29e9cc4ce5596924745e12b93,471918,,0
3036578,1711004285,0xf0b44e35a33721fee29013d101e1a47a9703d209,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,1474170,,0
